DATAFLOW;LAST UPDATE;freq;cons_fp;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HR;2021;125;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2011;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2012;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2013;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2014;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2015;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2016;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2017;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2018;111;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2019;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2020;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;HU;2021;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2011;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2012;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2013;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2014;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2015;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2016;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2017;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2018;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2019;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2020;86;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IE;2021;76;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2011;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2012;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2013;95;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2014;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2015;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2016;105;
